gene	index
SAMD11	0
HES4	1
ISG15	2
HES5	3
RBP7	4
ANGPTL7	5
LINC01783	6
BX284668.2	7
NBL1	8
PLA2G2A	9
ALPL	10
C1QA	11
C1QC	12
C1QB	13
RUNX3	14
STMN1	15
CD52	16
SFN	17
LAPTM5	18
FABP3	19
GJA4	20
BMP8A	21
COL9A2	22
CITED4	23
PODN	24
PLPP3	25
TACSTD2	26
PDE4B	27
GADD45A	28
CTH	29
DNAJB4	30
PTGFR	31
IFI44L	32
ADGRL4	33
LRRC8C	34
GCLM	35
ARHGAP29	36
F3	37
VCAM1	38
AL356488.2	39
CSF1	40
CD53	41
CHI3L2	42
OVGP1	43
AC253572.2	44
HIST2H2AA4	45
LOR	46
S100A9	47
S100A8	48
S100A3	49
S100A2	50
S100A16	51
BGLAP	52
CRABP2	53
ACKR1	54
ADAMTS4	55
FCER1G	56
MPZ	57
HSPA6	58
RGS4	59
RGS5	60
DPT	61
SELE	62
FMO2	63
MYOC	64
ABL2	65
GLUL	66
RGS16	67
LAMC2	68
PRG4	69
PTGS2	70
RGS1	71
RGS2	72
PTPRC	73
ELF3	74
CHI3L1	75
IL10	76
LAMB3	77
G0S2	78
HSD11B1	79
SLC30A1	80
ATF3	81
PROX1	82
CENPF	83
TGFB2-AS1	84
LYPLAL1-AS1	85
LINC01705	86
AC231981.1	87
SOX11	88
RSAD2	89
AC104794.3	90
RN7SL832P	91
MATN3	92
CYP1B1	93
PLEK	94
MTHFD2	95
CYTOR	96
DUSP2	97
IL1RL1	98
SULT1C2	99
MIR4435-2HG	100
IL1B	101
IL36RN	102
PAX8-AS1	103
MARCO	104
CXCR4	105
ZEB2	106
RND3	107
TNFAIP6	108
NR4A2	109
CYTIP	110
TTN	111
ITGA4	112
CALCRL	113
TFPI	114
COL3A1	115
SLC40A1	116
NABP1	117
CAVIN2	118
STK17B	119
SATB2	120
FN1	121
IGFBP2	122
IGFBP5	123
IHH	124
KCNE4	125
SCG2	126
SERPINE2	127
CCL20	128
NPPC	129
ARL4C	130
AGAP1-IT1	131
ACKR3	132
PDCD1	133
EGOT	134
SRGAP3	135
FBLN2	136
NEK10	137
SLC4A7	138
LINC02158	139
TMEM158	140
STAB1	141
MUSTN1	142
DNASE1L3	143
PROK2	144
VGLL3	145
MTRNR2L12	146
COL8A1	147
FILIP1L	148
NXPE3	149
GAP43	150
ILDR1	151
MYLK	152
GATA2	153
TRH	154
TF	155
ATP1B3	156
CPB1	157
CP	158
TM4SF18	159
TM4SF1	160
PTX3	161
RARRES1	162
CRYGS	163
P3H2	164
CLDN1	165
HES1	166
APOD	167
SPON2	168
MSX1	169
CYTL1	170
S100P	171
HTRA3	172
RHOH	173
KIT	174
KDR	175
HOPX	176
AMTN	177
CXCL8	178
CXCL1	179
CXCL3	180
CXCL2	181
EREG	182
AREG	183
SEPTIN11	184
TMEM150C	185
SPARCL1	186
IBSP	187
MEPE	188
SPP1	189
HERC5	190
GPRIN3	191
DDIT4L	192
EMCN	193
AP001816.1	194
NPNT	195
SPRY1	196
FAT4	197
LINC02432	198
HHIP	199
SFRP2	200
MARCH1	201
MSMO1	202
SPOCK3	203
SLC25A4	204
ANKRD37	205
SDHA	206
BASP1	207
C1QTNF3	208
IL7R	209
C7	210
SELENOP	211
AC008875.3	212
AC025171.3	213
ITGA2	214
FST	215
ESM1	216
PLK2	217
SHISAL2B	218
ADAMTS6	219
MAP1B	220
IQGAP2	221
THBS4	222
VCAN	223
MEF2C	224
ARRDC3	225
NR2F1-AS1	226
NR2F1	227
GLRX	228
LINC01554	229
ST8SIA4	230
TNFAIP8	231
LOX	232
CXCL14	233
TGFBI	234
DNAJC18	235
ECSCR	236
HBEGF	237
RNF14	238
FGF1	239
SPINK1	240
IL17B	241
PDGFRB	242
CD74	243
LCP2	244
STC2	245
LTC4S	246
MYLK4	247
F13A1	248
EDN1	249
CD83	250
TRIM38	251
HIST1H1C	252
HIST1H2BE	253
AL121944.1	254
IER3	255
AL662844.4	256
TNF	257
LTB	258
AIF1	259
HSPA1A	260
HSPA1B	261
CFB	262
TNXB	263
HLA-DRA	264
HLA-DRB1	265
HLA-DQA1	266
HLA-DQB1	267
HLA-DPA1	268
HLA-DPB1	269
HMGA1	270
TREM1	271
RUNX2	272
CLIC5	273
ADGRF5	274
COL21A1	275
COL9A1	276
COL12A1	277
CD24	278
MARCKS	279
COL10A1	280
PLN	281
ARHGAP18	282
LINC01013	283
TNFAIP3	284
AKAP12	285
SYNJ2	286
SYTL3	287
EZR	288
TAGAP	289
FNDC1	290
SOD2	291
AL606970.4	292
THBS2	293
ZFAND2A	294
AGR2	295
AHR	296
TWIST1	297
TWISTNB	298
ITGB8	299
IL6	300
GPNMB	301
GARS-DT	302
AQP1	303
AOAH	304
SFRP4	305
MRPS24	306
PGAM2	307
IGFBP3	308
UPP1	309
CLDN4	310
ELN	311
NCF1	312
CCL26	313
FGL2	314
CD36	315
SEMA3C	316
SEMA3D	317
AC003991.1	318
STEAP4	319
TFPI2	320
GNG11	321
COL1A2	322
PEG10	323
PDK4	324
TAC1	325
SERPINE1	326
POLR2J3	327
CCDC71L	328
HILPDA	329
PTN	330
DGKI	331
GIMAP7	332
GIMAP1	333
DEFB1	334
AC069185.1	335
MSR1	336
SLC7A2	337
LPL	338
STC1	339
NEFM	340
SCARA5	341
NRG1	342
HTRA4	343
SFRP1	344
PLAT	345
PENK	346
AC104051.2	347
AC084082.1	348
SULF1	349
CRISPLD1	350
STMN2	351
HEY1	352
FABP5	353
FABP4	354
AC010834.2	355
GDF6	356
CTHRC1	357
ANGPT1	358
TNFRSF11B	359
CCN3	360
COL14A1	361
MYC	362
ARC	363
LY6D	364
SCX	365
BNC2	366
PLIN2	367
AQP3	368
RMRP	369
ARHGEF39	370
MSMP	371
C9orf135-DT	372
AL158828.1	373
CKS2	374
GADD45G	375
OMD	376
AL807757.2	377
PTCH1	378
AL590705.1	379
RGS3	380
COL27A1	381
TNC	382
PAPPA	383
NAIF1	384
LCN2	385
IER5L	386
PTGES	387
COL5A1	388
EGFL7	389
PTGDS	390
CLIC3	391
AKR1C1	392
AKR1C2	393
AKR1C3	394
GATA3	395
CELF2	396
UCMA	397
AL157895.1	398
OTUD1	399
CREM	400
CXCL12	401
DEPP1	402
GDF10	403
WDFY4	404
DKK1	405
ANK3	406
SRGN	407
SLC29A3	408
SPOCK2	409
PLAU	410
KCNMA1	411
AL603756.1	412
ACTA2	413
IFIT2	414
IFIT3	415
IFIT1	416
ANKRD1	417
CNNM1	418
TNNI2	419
TNNT3	420
H19	421
IGF2	422
HBB	423
TRIM6	424
ADM	425
MTRNR2L8	426
LYVE1	427
DKK3	428
LINC02751	429
SAA1	430
SLC1A2	431
ALKBH3	432
C11orf96	433
PRG2	434
MS4A7	435
FTH1	436
GPHA2	437
NEAT1	438
CTSW	439
FOSL1	440
GAL	441
CCND1	442
FOLR2	443
CHRDL2	444
PRSS23	445
CTSC	446
CHORDC1	447
FAT3	448
BIRC3	449
MMP10	450
MMP1	451
MMP13	452
CARD16	453
CRYAB	454
NCAM1	455
CADM1	456
PAFAH1B2	457
TAGLN	458
MCAM	459
THY1	460
NRGN	461
ESAM	462
VWF	463
SLC2A3	464
C3AR1	465
MFAP5	466
KLRG1	467
AC092821.3	468
CLEC2B	469
KLRD1	470
PRR4	471
MGST1	472
AC023157.3	473
COL2A1	474
RND1	475
NR4A1	476
LINC02381	477
IL23A	478
STAT6	479
WIF1	480
AC026124.1	481
LYZ	482
PTPRB	483
THAP2	484
CSRP2	485
AC089998.4	486
EPYC	487
GAS2L3	488
PMCH	489
HELLPAR	490
IGF1	491
TXNRD1	492
ALOX5AP	493
MEDAG	494
HSPH1	495
DCLK1	496
POSTN	497
CPB2-AS1	498
LCP1	499
LPAR6	500
CNMD	501
PCDH9	502
LMO7	503
AL161717.1	504
AL137140.1	505
EDNRB	506
SPRY2	507
GPR183	508
ITGBL1	509
COL4A1	510
ADPRHL1	511
CHAMP1	512
RNASE1	513
TRDC	514
TRAC	515
ADCY4	516
NOVA1	517
COCH	518
AL627171.2	519
FRMD6-AS1	520
PSMA3-AS1	521
LTBP2	522
PGF	523
DIO2	524
GPR65	525
IFI27	526
BDKRB1	527
MEG3	528
MEG8	529
DIO3	530
TNFAIP2	531
CKB	532
CRIP1	533
SNHG14	534
AC090877.2	535
GREM1	536
ACTC1	537
THBS1	538
AC051619.7	539
AC051619.8	540
C15orf48	541
FGF7	542
GNB5	543
C2CD4A	544
C2CD4B	545
TPM1	546
PCLAF	547
ZNF609	548
PARP16	549
ITGA11	550
UACA	551
DNAJA4	552
BCL2A1	553
CEMIP	554
NMB	555
ISG20	556
NR2F2	557
LINC00923	558
HBM	559
HBA2	560
HBA1	561
MSLN	562
SNHG9	563
NPW	564
IL32	565
AC108134.2	566
DNASE1	567
IGSF6	568
ALDOA	569
CORO1A	570
MMP2	571
MT3	572
MT1E	573
MT1M	574
MT1A	575
MT1B	576
MT1F	577
MT1G	578
MT1H	579
CX3CL1	580
CDH11	581
CDH5	582
RRAD	583
TPPP3	584
SMPD3	585
NQO1	586
MAF	587
PLCG2	588
CRISPLD2	589
AC105429.1	590
